graph6,name,hog
EWlw,S_3,36261
C],C_4,674
DdW,C_5,340
GXBdT{,XF_3^2,35497
F@`E_,T_2,816
FPPSO,C_7,520
GE@cPO,C_8,474
FPBdO,XF_2^2,35493
ESFO,net,548
GD}?@S,XF_2^3,35495
F`gNo,X_{31},35522
FUFTw,rising sun,1286
EPpO,C_6,670
